Station Code	Station Name	Station Coordinates
BDE	BODELI	"22.2699306,73.7163198"
BDGM	BADGAM	"34.01553,74.785137"
BDGP	BADANAGUPPE	"11.990126,76.861038"
BDH	BHEDIA	"23.586722,87.711893"
BDHA	BADHADA	"21.26984,71.336954"
BDHL	BADHAL	"27.2520687,75.4516554"
BDHN	BODHAN	"18.646113,77.8883457"
BDHP	BHUDPUR	"29.270228,77.292252"
BDHT	BARDI HALT	"21.621207,78.822441"
BDHY	BUDHI	"32.440829,75.433331"
BDI	BHADLI	"21.0222615,75.6729054"
BDIN	BHADAIYAN	"26.170229,82.170353"
BDJ	BADAGARA	"11.5934514,75.5870709"
BDKE	BHADSIVNI	"20.569796,77.443314"
BDKN	BANDHUA KALAN	"26.272175,81.995602"
BDKT	BADAKHANDITA	"20.3654287,86.08381554"
BDL	VINDHYACHAL	"25.1606517,82.5019012"
